SECURITY_IDENTIFIER,EVENTS,TOTAL_ORDERS,MARKET_ORDERS,LIMIT_ORDERS
9088012,4,2,0,2
1300102,54,18,0,18
9088010,11,3,0,3
1300108,12,4,0,4
9088016,2,1,1,0
9088015,4,2,0,2
3355008,3,3,0,3
3355009,7,2,0,2
7744222,29,6,0,6
3355001,1,1,0,1
9088009,10,3,0,3
9088008,5,2,0,2
9044001,14,6,0,6
3355003,8,7,0,7
9088007,8,3,0,3
3355004,1,1,0,1
3355005,15,4,0,4
3355006,9,3,0,3
7744232,29,6,0,6
1300110,9,3,0,3
150190007,1,1,0,1
150190009,16,8,0,8
150190008,6,3,1,2
7744042,11,4,0,4
7744284,20,8,1,7
7744285,30,12,1,11
7744282,34,13,1,12
7744283,25,10,1,9
150190001,171,41,0,41
7744281,36,14,1,13
120224,14,14,6,8
20170804,23,8,0,8
112233001,10,6,4,2
7744288,20,7,1,6
7744289,17,6,0,6
7744286,25,10,1,9
7744287,18,8,2,6
7744053,25,10,0,10
7744052,11,4,0,4
7744058,16,4,0,4
7744055,47,10,0,10
7744056,62,16,0,16
6677006,358,126,0,126
6655019,12,4,0,4
6677007,690,264,0,264
6677004,294,104,0,104
6677005,288,120,0,120
6677002,338,136,0,136
6677003,338,136,0,136
6677001,2650,1024,0,1024
7744021,9,2,0,2
6677008,390,126,0,126
6655017,9,2,0,2
6677009,175,80,0,80
120201,5,4,2,2
7744028,6,2,0,2
120202,32,12,0,12
7744029,6,2,0,2
6677017,144,64,0,64
6677018,30,14,0,14
6677015,200,80,0,80
6677013,240,80,0,80
6677014,152,48,0,48
6677011,240,80,0,80
6677012,234,98,0,98
6655001,7,4,0,4
87776002,21,10,8,2
87776001,2,1,0,1
7744032,17,6,0,6
9014017,10,4,0,4
150190010,1,1,0,1
6655002,12,4,1,3
7744030,6,2,0,2
87776006,39,13,0,13
9014015,15,6,0,6
87776005,39,13,0,13
9014016,10,4,0,4
150190011,9,3,0,3
87776004,39,13,0,13
87776003,2,2,0,2
7744037,4,4,0,4
7744038,15,4,0,4
7744036,9,3,0,3
7744033,17,6,0,6
6677010,200,80,0,80
9014008,66,25,0,25
9014009,5,2,0,2
9014006,31,13,0,13
9014007,5,2,0,2
7744080,14,5,0,5
7744081,26,10,0,10
6321403,55,14,0,14
6321402,59,14,0,14
6321401,126,28,0,28
7744088,17,6,0,6
7744089,17,6,0,6
9911001,36,13,2,11
9911002,4,2,0,2
9911004,14,5,0,5
9911005,1,1,0,1
9911006,4,2,0,2
20171075,5,2,0,2
20171077,5,2,0,2
20171078,5,2,0,2
7744064,2,2,0,2
7744063,6,2,0,2
7744060,6,2,0,2
7744061,6,2,0,2
20171080,5,2,0,2
20171081,5,2,0,2
20171084,15,5,0,5
20171083,15,5,0,5
20171064,5,2,0,2
20171065,5,2,0,2
20171067,13,6,4,2
20171069,13,6,4,2
7744076,11,4,0,4
4250400,38,12,0,12
9955003,5,4,0,4
9955001,2,1,0,1
20171071,19,7,0,7
20171073,18,7,0,7
9955005,5,4,0,4
9955004,7,5,0,5
